sku_id,sku_description,price,insert_timestamp_utc
795220,NON PADDED WIRED B,20.8,2025-04-30 08:28:31.604199+00:00
224076,Schwebetürenschran,968.71,2025-04-30 08:28:31.604199+00:00
1299572,Plissee,50.98,2025-04-30 08:28:31.604199+00:00
796663,Handtücher 2tlg.,40.44,2025-04-30 08:28:31.604199+00:00
1656789,Sommerreifen,197.91,2025-04-30 08:28:31.604199+00:00
1654824,Tafelservice,83.12,2025-04-30 08:28:31.604199+00:00
796151,Gardinenschiene,37.09,2025-04-30 08:28:31.604199+00:00
1848138,Lichterkette,28.24,2025-04-30 08:28:31.604199+00:00
1907433,Short Dres VMMENNY,18.18,2025-04-30 08:28:31.604199+00:00
1483124,Dampfbügeleisen FV,45.29,2025-04-30 08:28:31.604199+00:00
1860536,4-Fußstuhl,208.14,2025-04-30 08:28:31.604199+00:00
1745298,Badetuch 1tlg.,27.34,2025-04-30 08:28:31.604199+00:00
1276550,Smash v2,34.73,2025-04-30 08:28:31.604199+00:00
361370,PIO T-Shirt 1/2,22.43,2025-04-30 08:28:31.604199+00:00
892079,"ECK,RECli,",1641.11,2025-04-30 08:28:31.604199+00:00
1623102,Jeans NMSALLIE,17.04,2025-04-30 08:28:31.604199+00:00
807134,H Steppweste,38.01,2025-04-30 08:28:31.604199+00:00
88729,Ring,23.26,2025-04-30 08:28:31.604199+00:00
163471,JJIALEX JJORIGINAL,29.81,2025-04-30 08:28:31.604199+00:00
753828,Style LTD QR Hope ,29.59,2025-04-30 08:28:31.604199+00:00
227969,Set Socke mit Tass,17.48,2025-04-30 08:28:31.604199+00:00
1283004,Kunstrasen 200/210,362.74,2025-04-30 08:28:31.604199+00:00
869271,Kettenschloss,14.31,2025-04-30 08:28:31.604199+00:00
942382,Unterschrank,488.89,2025-04-30 08:28:31.604199+00:00
1890784,Kunstblume 30,17.51,2025-04-30 08:28:31.604199+00:00
1704990,"SSO,2er,FKT",2051.11,2025-04-30 08:28:31.604199+00:00
1723718,CA Pro Classic,58.51,2025-04-30 08:28:31.604199+00:00
1289706,Winterreifen,186.43,2025-04-30 08:28:31.604199+00:00
429382,Pfanne,19.97,2025-04-30 08:28:31.604199+00:00
951677,Jeans SKINNY BOOTC,70.81,2025-04-30 08:28:31.604199+00:00
1776119,Automatikuhr,369.3,2025-04-30 08:28:31.604199+00:00
448592,Grip-Tape,15.74,2025-04-30 08:28:31.604199+00:00
690587,STAN SMITH,63.43,2025-04-30 08:28:31.604199+00:00
829638,Wandbild,55.23,2025-04-30 08:28:31.604199+00:00
598976,2PP LIGHT PADDED D,22.43,2025-04-30 08:28:31.604199+00:00
735146,Gardinenstange,125.1,2025-04-30 08:28:31.604199+00:00
394000,SCHIEBEGARDINE,43.1,2025-04-30 08:28:31.604199+00:00
88361,RIEKER-Winterboots,44.84,2025-04-30 08:28:31.604199+00:00
44024,Wandbild,39.65,2025-04-30 08:28:31.604199+00:00
1146886,T.HILFIGER-Sneaker,68.62,2025-04-30 08:28:31.604199+00:00
1522207,GANT KA HEMD,70.81,2025-04-30 08:28:31.604199+00:00
208092,PlugBug 50W  weiß,66.71,2025-04-30 08:28:31.604199+00:00
911042,ECK OTTre,4511.11,2025-04-30 08:28:31.604199+00:00
903600,LEROND PRO BL 23 1,87.21,2025-04-30 08:28:31.604199+00:00
1626688,Lederjacke G2MOcce,95.64,2025-04-30 08:28:31.604199+00:00
349975,WARREN 5 weißgrau,1790.76,2025-04-30 08:28:31.604199+00:00
1443623,FENSTERFOLIE,66.67,2025-04-30 08:28:31.604199+00:00
489640,"DTS,181",369.03,2025-04-30 08:28:31.604199+00:00
311244,Tapete 90x250 selb,30.64,2025-04-30 08:28:31.604199+00:00
1668659,Minislip 3PK,21.61,2025-04-30 08:28:31.604199+00:00
1320893,Gaming Headset Sch,101.33,2025-04-30 08:28:31.604199+00:00
1835724,Ecksofa Fkt,3436.91,2025-04-30 08:28:31.604199+00:00
1724367,VILLI SANDAL K,45.39,2025-04-30 08:28:31.604199+00:00
1159047,Sandale,50.31,2025-04-30 08:28:31.604199+00:00
1205298,Gardinenstange,163.81,2025-04-30 08:28:31.604199+00:00
722712,MERLIN - Beige - 2,1021.19,2025-04-30 08:28:31.604199+00:00
1205485,Teppich,764.53,2025-04-30 08:28:31.604199+00:00
48964,Besteck-Set,40.48,2025-04-30 08:28:31.604199+00:00
802385,"WLS,CLre",2431.67,2025-04-30 08:28:31.604199+00:00
51895,Charm-Einhänger,74.1,2025-04-30 08:28:31.604199+00:00
1216683,Bügel-Bandeau-Top ,39.65,2025-04-30 08:28:31.604199+00:00
530973,Bettwäsche 2tlg.,50.28,2025-04-30 08:28:31.604199+00:00
46339,Wandbild,74.91,2025-04-30 08:28:31.604199+00:00
1444486,Ecke Ott.re+FK,862.11,2025-04-30 08:28:31.604199+00:00
258898,"WLS,OTTre",1819.78,2025-04-30 08:28:31.604199+00:00
1874659,Rücklicht,29.81,2025-04-30 08:28:31.604199+00:00
494578,CTAS  1V EASY-ON H,38.01,2025-04-30 08:28:31.604199+00:00
1372059,TT Hip Pants 3er P,20.79,2025-04-30 08:28:31.604199+00:00
286368,Sandale,33.91,2025-04-30 08:28:31.604199+00:00
1844537,Elbsand casual soc,13.41,2025-04-30 08:28:31.604199+00:00
1114178,Kunstrasen COLORAD,780.11,2025-04-30 08:28:31.604199+00:00
383303,LV BELTS FLAT KEEP,28.99,2025-04-30 08:28:31.604199+00:00
102052,RC Audi R8 1:24,19.82,2025-04-30 08:28:31.604199+00:00
1029356,Sesselauflage nied,43.77,2025-04-30 08:28:31.604199+00:00
1566764,JJIMIKE JJORIGINAL,47.03,2025-04-30 08:28:31.604199+00:00
1935428,Winterreifen,221.69,2025-04-30 08:28:31.604199+00:00
577390,"Esstischplatte,180",221.78,2025-04-30 08:28:31.604199+00:00
922954,Soft-BH,50.31,2025-04-30 08:28:31.604199+00:00
812542,Printed Short Blou,36.37,2025-04-30 08:28:31.604199+00:00
1732064,VMCOCO L/S BOMBER ,29.81,2025-04-30 08:28:31.604199+00:00
437016,Wandbild,19.97,2025-04-30 08:28:31.604199+00:00
502803,Rasenteppich 200/2,500.5,2025-04-30 08:28:31.604199+00:00
999637,Bank,245.18,2025-04-30 08:28:31.604199+00:00
297069,GARDINE,55.23,2025-04-30 08:28:31.604199+00:00
1259122,Ampelschirm Malta ,984.14,2025-04-30 08:28:31.604199+00:00
1737469,JOOP Bikini-Hose,32.27,2025-04-30 08:28:31.604199+00:00
1924940,Cup B,42.11,2025-04-30 08:28:31.604199+00:00
955296,ONLVAL S/S O-NECK ,14.23,2025-04-30 08:28:31.604199+00:00
604644,"GESTEL,120/200",288.11,2025-04-30 08:28:31.604199+00:00
202083,Inhalator IH 26,48.32,2025-04-30 08:28:31.604199+00:00
337795,Jeans,50.31,2025-04-30 08:28:31.604199+00:00
672024,Petite Fleur Contr,27.35,2025-04-30 08:28:31.604199+00:00
